R1,R2,R3A,R3B,R1R,R2R,R1S,IaRaw,IbRaw,OffsetRaw,Vcoil,VprQ8,InRef,InTmp,ThMem,VrlQ8
1,0,1,1,2,0,0,2046,2046,2046,3628,5889,1513,928,109,5933
0,1,1,1,1,0,0,2046,2043,2047,3629,5887,1513,930,109,5933
0,0,0,0,1,0,1,2045,2045,2045,3629,5889,1511,930,108,5935
1,1,1,1,1,0,0,2045,2045,2047,3629,5887,1513,929,108,5935
0,1,1,0,1,0,0,2045,2046,2047,3628,5887,1511,930,110,5935
1,1,1,1,1,0,0,2046,2046,2047,3630,5887,1512,928,107,5935
0,1,0,1,1,1,0,2046,2045,2046,3630,5885,1511,929,110,5932
1,1,0,0,1,1,0,2046,2046,2046,3629,5885,1510,929,109,5932
0,1,1,1,0,2,1,2046,2044,2045,3629,5889,1511,929,109,5935
0,1,0,1,0,0,1,2046,2045,2045,3629,5889,1509,928,108,5932
0,1,1,1,1,1,1,2046,2045,2046,3629,5889,1511,927,108,5935
1,0,1,0,0,1,0,2045,2045,2047,3629,5885,1511,930,109,5932
1,0,0,0,1,1,0,2047,2045,2047,3628,5885,1510,929,110,5935
0,0,1,1,0,1,0,2046,2045,2046,3629,5887,1513,928,109,5935
1,1,1,1,1,1,0,2046,2045,2047,3629,5889,1512,927,108,5933
0,1,0,1,0,0,0,2045,2044,2046,3629,5889,1512,929,111,5933
0,0,0,1,0,1,1,2047,2045,2046,3630,5889,1511,929,109,5935
0,0,0,1,0,1,0,2046,2046,2046,3630,5885,1514,929,107,5933
2,0,1,1,1,1,0,2046,2044,2046,3630,5885,1514,928,107,5933
2,1,1,1,0,1,0,2047,2044,2047,3628,5889,1512,928,107,5933
